dia,total_diario
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-26,1
2020-02-27,1
2020-02-28,2
2020-02-29,2
2020-03-01,2
2020-03-02,5
2020-03-03,5
2020-03-04,5
2020-03-05,2
2020-03-06,6
2020-03-07,10
2020-03-08,7
2020-03-09,24
2020-03-10,27
2020-03-11,25
2020-03-12,21
2020-03-13,38
2020-03-14,41
2020-03-15,41
2020-03-16,52
2020-03-17,32
2020-03-18,32
2020-03-19,38
2020-03-20,58
2020-03-21,30
2020-03-22,35
2020-03-23,58
2020-03-24,53
2020-03-25,62
2020-03-26,97
2020-03-27,78
2020-03-28,72
2020-03-29,68
2020-03-30,124
2020-03-31,93
2020-04-01,160
2020-04-02,138
2020-04-03,135
2020-04-04,148
2020-04-05,154
2020-04-06,190
2020-04-07,176
2020-04-08,196
2020-04-09,219
2020-04-10,363
2020-04-11,246
2020-04-12,261
2020-04-13,356
2020-04-14,327
2020-04-15,431
2020-04-16,371
2020-04-17,446
2020-04-18,479
2020-04-19,428
2020-04-20,751
2020-04-21,435
2020-04-22,452
2020-04-23,473
2020-04-24,584
2020-04-25,588
2020-04-26,510
2020-04-27,676
2020-04-28,605
2020-04-29,489
2020-04-30,735
2020-05-01,1119
2020-05-02,665
2020-05-03,684
2020-05-04,922
2020-05-05,883
2020-05-06,801
2020-05-07,856
2020-05-08,992
2020-05-09,834
2020-05-10,1231
2020-05-11,1058
2020-05-12,938
2020-05-13,891
2020-05-14,809
2020-05-15,1313
2020-05-16,966
2020-05-17,910
2020-05-18,1391
2020-05-19,910
2020-05-20,1525
2020-05-21,862
2020-05-22,1063
2020-05-23,898
2020-05-24,812
2020-05-25,1378
2020-05-26,970
2020-05-27,918
2020-05-28,1059
2020-05-29,952
2020-05-30,937
2020-05-31,871
2020-06-01,1675
2020-06-02,982
2020-06-03,905
2020-06-04,965
2020-06-05,1183
2020-06-06,998
2020-06-07,768
2020-06-08,1058
2020-06-09,835
2020-06-10,1306
2020-06-11,850
2020-06-12,955
2020-06-13,785
2020-06-14,654
2020-06-15,1258
2020-06-16,895
2020-06-17,729
2020-06-18,949
2020-06-19,901
2020-06-20,1271
2020-06-21,635
2020-06-22,858
2020-06-23,802
2020-06-24,773
2020-06-25,992
2020-06-26,1105
2020-06-27,664
2020-06-28,879
2020-06-29,978
2020-06-30,1015
2020-07-01,1370
2020-07-02,908
2020-07-03,964
2020-07-04,718
2020-07-05,831
2020-07-06,899
2020-07-07,886
2020-07-08,878
2020-07-09,840
2020-07-10,1472
2020-07-11,734
2020-07-12,776
2020-07-13,1166
2020-07-14,878
2020-07-15,1369
2020-07-16,926
2020-07-17,1150
2020-07-18,985
2020-07-19,778
2020-07-20,1660
2020-07-21,1016
2020-07-22,927
2020-07-23,951
2020-07-24,969
2020-07-25,1045
2020-07-26,746
2020-07-27,1134
2020-07-28,921
2020-07-29,838
2020-07-30,909
2020-07-31,801
2020-08-01,1298
2020-08-02,702
2020-08-03,959
2020-08-04,832
2020-08-05,985
2020-08-06,749
2020-08-07,989
2020-08-08,822
2020-08-09,594
2020-08-10,1435
2020-08-11,933
2020-08-12,893
2020-08-13,823
2020-08-14,1001
2020-08-15,1096
2020-08-16,738
2020-08-17,1096
2020-08-18,1166
2020-08-19,901
2020-08-20,1775
2020-08-21,1111
2020-08-22,895
2020-08-23,772
2020-08-24,1213
2020-08-25,1294
2020-08-26,1037
2020-08-27,1119
2020-08-28,1460
2020-08-29,873
2020-08-30,952
2020-08-31,1201
2020-09-01,1798
2020-09-02,1179
2020-09-03,1040
2020-09-04,1066
2020-09-05,1025
2020-09-06,689
2020-09-07,1091
2020-09-08,1110
2020-09-09,1063
2020-09-10,1321
2020-09-11,917
2020-09-12,722
2020-09-13,593
2020-09-14,1047
2020-09-15,1207
2020-09-16,744
2020-09-17,985
2020-09-18,1177
2020-09-19,949
2020-09-20,1283
2020-09-21,1090
2020-09-22,979
2020-09-23,963
2020-09-24,928
2020-09-25,1197
2020-09-26,869
2020-09-27,813
2020-09-28,1119
2020-09-29,1126
2020-09-30,1048
2020-10-01,1577
2020-10-02,933
2020-10-03,828
2020-10-04,742
2020-10-05,1351
2020-10-06,1038
2020-10-07,1176
2020-10-08,1121
2020-10-09,1065
2020-10-10,1778
2020-10-11,947
2020-10-12,1441
2020-10-13,1250
2020-10-14,1190
2020-10-15,1631
2020-10-16,1496
2020-10-17,1213
2020-10-18,1238
2020-10-19,1794
2020-10-20,2390
2020-10-21,1482
2020-10-22,1477
2020-10-23,1560
2020-10-24,1188
2020-10-25,1444
2020-10-26,1855
2020-10-27,1563
2020-10-28,1624
2020-10-29,1342
2020-10-30,1589
2020-10-31,1027
2020-11-01,1919
2020-11-02,1509
2020-11-03,1877
2020-11-04,1435
2020-11-05,1694
2020-11-06,1631
2020-11-07,1400
2020-11-08,1183
2020-11-09,2032
2020-11-10,2141
2020-11-11,1742
2020-11-12,1501
2020-11-13,1412
2020-11-14,1296
2020-11-15,1637
2020-11-16,1578
2020-11-17,1882
2020-11-18,1866
2020-11-19,1662
2020-11-20,2937
2020-11-21,1794
2020-11-22,1740
2020-11-23,2495
2020-11-24,2102
2020-11-25,2481
2020-11-26,2011
2020-11-27,2221
2020-11-28,2290
2020-11-29,1873
2020-11-30,3253
2020-12-01,3160
2020-12-02,2385
2020-12-03,2152
2020-12-04,2099
2020-12-05,1679
2020-12-06,972
2020-12-07,1430
2020-12-08,766
2020-12-09,635
